player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
NovaThorn,Cloud9,35,4,34,12424,12268,25773,48%,Black Widow,NAVI,May 9 2025 0355 PM,Royal Palace
SilentVex,Cloud9,21,44,29,36878,8986,11596,81%,Iron Fist
PulseKnight,Cloud9,34,34,32,14094,7080,31392,67%,Squirrel Girl
AetherShock,Cloud9,20,47,16,47327,28891,18305,83%,Namor
NeonDagger,Cloud9,33,10,47,10015,11890,9846,82%,Hela
HoloSpark,Cloud9,17,9,26,13116,22544,38787,75%,Peni Parker
FireWarden,NAVI,47,38,45,40436,26615,11519,54%,Invisible Woman
StarFable,NAVI,10,2,21,37119,16946,28260,46%,Ultron
HexMancer,NAVI,30,30,14,43008,18598,16386,58%,Ultron
QuasarEcho,NAVI,26,25,35,26739,25028,19023,83%,Namor
ZeroDrift,NAVI,15,17,44,40737,19038,30333,61%,Scarlet Witch
DarkHalo,NAVI,50,36,26,19161,28981,13975,29%,Doctor Strange
