player, team, kills, deaths, assists, damageDealt, damageBlocked, healingDone, accuracy, characterPlayed, winningTeam, timePlayed, map
RogueNova, Team Liquid, 45, 5, 42, 15729, 6987, 26680, 55%, Groot, Team Liquid, May 12 2025 0846 PM, Krakoa
NightBloom, Team Liquid, 33, 17, 48, 23139, 26613, 16745, 100%, Thor
TwitchReign, Team Liquid, 7, 47, 50, 46446, 28142, 29705, 96%, Magneto
StormHex, Team Liquid, 17, 41, 26, 45504, 15092, 28777, 42%, Storm
PhantomBlaze, Team Liquid, 47, 30, 21, 46246, 21223, 19752, 92%, Iron Man
ByteSlinger, Team Liquid, 50, 39, 41, 31620, 29655, 16408, 98%, Mister Fantastic

FrostSnare, FaZe, 35, 26, 24, 16778, 27890, 30054, 29%, Magneto
CrimsonByte, FaZe, 44, 44, 35, 11347, 26547, 25553, 88%, Thor
NightCrawler, FaZe, 48, 4, 11, 29030, 14545, 31584, 95%, Human Torch
StaticWhisper, FaZe, 5, 44, 1, 5449, 1881, 31533, 29%, Magik
HavocMuse, FaZe, 6, 45, 50, 36921, 15687, 36107, 76%, Wolverine
QuantumJade, FaZe, 5, 30, 42, 15869, 16662, 33771, 3%, Captain America
