player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
NovaThorn,Cloud9,31,38,3,30756,6199,34514,97%,Hulk,None,May 21 2025 0632 PM,Hall of Djalia
SilentVex,Cloud9,20,3,45,25240,7608,18187,75%,Cloak & Dagger
PulseKnight,Cloud9,49,48,7,36687,21067,11654,39%,Hela
AetherShock,Cloud9,9,40,49,5110,15580,16923,72%,Invisible Woman
NeonDagger,Cloud9,49,9,15,14543,16000,7625,97%,Mister Fantastic
HoloSpark,Cloud9,40,41,40,34474,26428,7939,68%,Iron Fist
FireWarden,NAVI,46,1,27,32163,9453,7251,97%,Adam Warlock
StarFable,NAVI,18,42,26,32317,25701,22555,82%,Peni Parker
HexMancer,NAVI,27,34,15,24806,28215,12536,53%,Adam Warlock
QuasarEcho,NAVI,50,45,41,15203,29401,11137,56%,Mantis
ZeroDrift,NAVI,25,19,43,45019,24863,38490,60%,Hulk
DarkHalo,NAVI,48,25,41,40896,19180,32662,100%,Peni Parker
