player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
RogueNova,Team Liquid,42,37,14,24042,17553,31715,63%,Star-Lord,None,May 28 2025 0723 AM,Symbiotic Surface
NightBloom,Team Liquid,7,11,29,39371,5701,34171,58%,Adam Warlock
TwitchReign,Team Liquid,43,1,43,30293,3362,12335,89%,Psylocke
StormHex,Team Liquid,35,2,35,7484,7592,27342,30%,Human Torch
PhantomBlaze,Team Liquid,29,21,29,35497,4711,8613,76%,Adam Warlock
ByteSlinger,Team Liquid,6,33,40,37867,20002,35096,52%,Emma Frost
VirusRush,Fnatic,22,4,31,7913,9200,15701,69%,Iron Fist
CrystalSnare,Fnatic,37,40,23,42085,26180,22903,56%,Namor
NullFury,Fnatic,32,12,45,9053,7877,19253,97%,Black Widow
VenomMuse,Fnatic,26,27,43,12143,17211,20542,72%,Cloak & Dagger
GlitchGuard,Fnatic,27,20,39,43621,3884,11783,82%,Peni Parker
RadiantZeta,Fnatic,13,36,39,42710,12817,28327,46%,Black Panther
