player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
ShadowStrike,G2,20,50,45,20016,10383,22416,87%,Invisible Woman,None,May 20 2025 0927 AM,Hell's Heaven
LunaByte,G2,43,45,28,40418,21282,33142,64%,Black Panther
Sn1p3rWolf,G2,33,2,11,35066,14343,35976,98%,Rocket Raccoon
PixelQueen,G2,27,39,1,17903,24476,8641,89%,Adam Warlock
BlitzRider,G2,30,44,37,19829,2187,15121,89%,Star-Lord
CodeMyst,G2,7,13,19,18059,5066,9607,79%,Adam Warlock
FrostSnare,FaZe,21,24,44,13142,28642,13550,88%,Invisible Woman
CrimsonByte,FaZe,11,10,34,43496,19313,34537,65%,Groot
NightCrawler,FaZe,26,22,30,43905,5185,19752,46%,Scarlet Witch
StaticWhisper,FaZe,37,27,43,9251,22218,16441,51%,Emma Frost
HavocMuse,FaZe,50,48,35,31767,13896,25488,81%,Emma Frost
QuantumJade,FaZe,30,49,4,44100,24160,9876,67%,Loki

