player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
VirusRush,Fnatic,35,45,21,29039,20113,30318,88%,Hulk,Fnatic,May 26 2025 0543 PM,Spider-Islands
CrystalSnare,Fnatic,18,23,38,18900,3796,14332,39%,Adam Warlock
NullFury,Fnatic,17,17,30,17510,3114,16878,56%,Luna Snow
VenomMuse,Fnatic,5,11,33,12498,8701,32266,87%,Storm
GlitchGuard,Fnatic,5,1,1,24497,15326,28197,88%,Captain America
RadiantZeta,Fnatic,28,7,30,22989,26943,33071,68%,Mister Fantastic
FrostSnare,FaZe,7,1,29,25311,22193,13199,44%,Spider-Man
CrimsonByte,FaZe,14,35,43,28433,1451,8823,83%,Captain America
NightCrawler,FaZe,43,13,19,30760,28551,10914,52%,Iron Fist
StaticWhisper,FaZe,20,48,13,11106,17245,16927,57%,Peni Parker
HavocMuse,FaZe,5,22,26,40331,2712,10818,42%,Loki
QuantumJade,FaZe,16,30,3,42286,16478,22957,96%,Squirrel Girl
