player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
FireWarden,NAVI,12,37,9,45565,4285,29931,62%,Mister Fantastic,None,May 17 2025 0142 PM, Krakoa
StarFable,NAVI,37,18,34,8670,15561,12663,97%,Hulk
HexMancer,NAVI,49,49,24,12773,6825,16214,28%,Loki
QuasarEcho,NAVI,48,13,27,44552,8277,11744,89%,Thor
ZeroDrift,NAVI,34,25,2,40133,24398,15416,48%,Ultron
DarkHalo,NAVI,41,7,19,7463,11419,13088,67%,Iron Fist
FrostSnare,FaZe,12,2,6,32830,10028,34053,98%,Groot
CrimsonByte,FaZe,36,30,12,46583,28993,12091,25%,Squirrel Girl
NightCrawler,FaZe,9,18,37,23355,21447,34912,91%,The Thing
StaticWhisper,FaZe,15,25,21,16496,29409,8475,98%,Venom
HavocMuse,FaZe,48,40,16,37070,23882,5332,98%,Captain America
QuantumJade,FaZe,34,22,11,13119,12692,37310,93%,Psylocke
